num,subject,relation,object,subject_url,object_url,obeject_image,from_id,to_id
44,朴忠载,旧爱,郑丽媛,http://www.ylq.com/rihan/puzhongzai/,http://www.ylq.com/rihan/zhengliyuan/,http://img.ylq.com/2014/1203/thumb_200_260_20141203194207867.jpg,657,7939
44,朴忠载,旧爱,金孝珍,http://www.ylq.com/rihan/puzhongzai/,http://www.ylq.com/rihan/jinxiaozhen/,http://img.ylq.com/2014/1203/thumb_200_260_20141203194115869.jpg,657,8222
44,朴忠载,拍档,申彗星,http://www.ylq.com/rihan/puzhongzai/,http://www.ylq.com/rihan/shenhuixing/,http://img.ylq.com/2017/0810/thumb_200_260_20170810020020342.png,657,232
45,冉莹颖,夫妻,邹市明,http://www.ylq.com/neidi/ranyingying/,http://www.ylq.com/neidi/zoushiming/,http://img.ylq.com/2016/0305/thumb_200_260_20160305010309174.png,679,6809
46,汤唯,绯闻,玄彬,http://www.ylq.com/neidi/tangwei/,http://www.ylq.com/rihan/xuanbin/,http://img.ylq.com/2014/1203/thumb_200_260_20141203193938943.jpg,746,7810
46,汤唯,师徒,李安（导演）,http://www.ylq.com/neidi/tangwei/,http://www.ylq.com/gangtai/lian/,http://img.ylq.com/2014/1203/thumb_200_260_20141203190132851.jpg,746,3744
46,汤唯,绯闻,吴秀波,http://www.ylq.com/neidi/tangwei/,http://www.ylq.com/neidi/wuxiubo/,http://img.ylq.com/2014/1203/thumb_200_260_20141203142241727.jpg,746,6122
46,汤唯,绯闻,王力宏,http://www.ylq.com/neidi/tangwei/,http://www.ylq.com/gangtai/wanglihong/,http://img.ylq.com/2014/1203/thumb_200_260_20141203185944954.jpg,746,8244
46,汤唯,绯闻,段奕宏,http://www.ylq.com/neidi/tangwei/,http://www.ylq.com/neidi/duanyihong/,http://img.ylq.com/2017/0220/thumb_200_260_20170220105934737.png,746,2438
46,汤唯,绯闻,朱雨辰,http://www.ylq.com/neidi/tangwei/,http://www.ylq.com/neidi/zhuchenyu/,http://img.ylq.com/2017/0320/thumb_200_260_20170320111102183.png,746,2157
47,白百何,夫妻,陈羽凡,http://www.ylq.com/neidi/baibaihe/,http://www.ylq.com/neidi/chenyufan/,http://img.ylq.com/2014/1203/thumb_200_260_20141203142457764.jpg,772,2531
47,白百何,同学,杨烁,http://www.ylq.com/neidi/baibaihe/,http://www.ylq.com/neidi/yangshuo/,http://img.ylq.com/2014/1203/thumb_200_260_20141203142417916.jpg,772,3243
47,白百何,同学,唐嫣,http://www.ylq.com/neidi/baibaihe/,http://www.ylq.com/neidi/tangyan/,http://img.ylq.com/2016/1213/thumb_200_260_20161213034009352.jpg,772,3060
47,白百何,同学,文章,http://www.ylq.com/neidi/baibaihe/,http://www.ylq.com/neidi/wenzhang/,http://img.ylq.com/2014/1203/thumb_200_260_20141203142210261.jpg,772,7089
47,白百何,同学,孙坚,http://www.ylq.com/neidi/baibaihe/,http://www.ylq.com/neidi/sunjian/,http://img.ylq.com/2017/0215/thumb_200_260_20170215105509970.png,772,2467
47,白百何,同学,周觅,http://www.ylq.com/neidi/baibaihe/,http://www.ylq.com/neidi/zhoumi/,http://img.ylq.com/2014/1203/thumb_200_260_20141203142458825.jpg,772,2533
47,白百何,同学,白静,http://www.ylq.com/neidi/baibaihe/,http://www.ylq.com/neidi/baijing/,http://img.ylq.com/2014/1203/thumb_200_260_20141203142547493.jpg,772,2565
47,白百何,同学,郭珍霓,http://www.ylq.com/neidi/baibaihe/,http://www.ylq.com/neidi/guozhenni/,http://img.ylq.com/2014/1203/thumb_200_260_20141203142414360.jpg,772,2814
47,白百何,同学,张博,http://www.ylq.com/neidi/baibaihe/,http://www.ylq.com/neidi/zhangbo/,http://img.ylq.com/2016/1227/thumb_200_260_20161227120657377.png,772,2878
47,白百何,同学,童瑶,http://www.ylq.com/neidi/baibaihe/,http://www.ylq.com/neidi/tongyaoo/,http://img.ylq.com/2014/1203/thumb_200_260_20141203142704319.jpg,772,3003
47,白百何,同学,秦丽,http://www.ylq.com/neidi/baibaihe/,http://www.ylq.com/neidi/qinli/,http://img.ylq.com/2014/1203/thumb_200_260_20141203142232183.jpg,772,3073
